date,Ave. Temp. [°C],Precip. [mm]
2024.03.01,10.6,0.8
2024.03.02,9.2,0.2
2024.03.03,9.8,0.2
2024.03.04,9.4,1
2024.03.05,9.4,1.3
2024.03.06,7.5,1.4
2024.03.07,5.3,0.9
2024.03.08,4.9,0.8
2024.03.09,5.1,1.5
2024.03.10,5.3,1
2024.03.11,5.8,1.3
2024.03.12,6.1,1.7
2024.03.13,6.7,2.5
2024.03.14,6.9,2.3
2024.03.15,6.6,1.8
2024.03.16,6.6,1.7
2024.03.17,6.8,1.7
2024.03.18,6.7,1.9
2024.03.19,6.9,1.6
2024.03.20,7,1.9
2024.03.21,7.2,1.7
2024.03.22,7.5,1.4
2024.03.23,7.8,1.8
2024.03.24,7.7,2.5
2024.03.25,7.7,2.7
2024.03.26,7.8,1.7
2024.03.27,7.8,2
2024.03.28,8.2,1.7
2024.03.29,8.9,1.8
2024.03.30,8.4,2.2
2024.03.31,8.7,2.7
