;Ave. Temp. [°C];Precip. [mm]
2024.01.01;6,1;7,3
2024.01.02;7,4;2,2
2024.01.03;8,2;4,1
2024.01.04;5,2;3,4
2024.01.05;3,9;2,7
2024.01.06;3,4;3,7
2024.01.07;2;3,4
2024.01.08;1;2,2
2024.01.09;0,4;2
2024.01.10;-0,3;2
2024.01.11;-0,7;2,6
2024.01.12;-1,5;2,2
2024.01.13;-1,3;1,5
2024.01.14;-0,3;2,4
2024.01.15;-0,2;1,7
2024.01.16;-0,2;2,2
2024.01.17;0,2;2
2024.01.18;0,3;2,2
2024.01.19;0,2;1,7
2024.01.20;0,1;1,9
2024.01.21;0,1;2,1
2024.01.22;-0,1;1,7
2024.01.23;0,3;1,3
2024.01.24;0,4;1,5
2024.01.25;0,6;1,2
2024.01.26;1;2
2024.01.27;will be updated on 2nd Jan. 2024;will be updated on 2nd Jan. 2024
2024.01.28;will be updated on 2nd Jan. 2024;will be updated on 2nd Jan. 2024
2024.01.29;will be updated on 2nd Jan. 2024;will be updated on 2nd Jan. 2024
2024.01.30;will be updated on 2nd Jan. 2024;will be updated on 2nd Jan. 2024
2024.01.31;will be updated on 2nd Jan. 2024;will be updated on 2nd Jan. 2024
